MPID|MP Type|Name|Location|Telephone|NASDAQ Member|FINRA Member|NASDAQ BX Member|PSX Participant
KING|M|C. L. King & Associates, Inc.||518-431-3527|Y|Y|N|N
KING|M|C. L. King & Associates, Inc.||518-431-3513|Y|Y|N|N
KISI|P|LATIN SECURITIES INC|||N|Y|N|N
KISL|P|Key Investment Services LLC|||N|Y|N|N
KIWS|M|KWS Associates, Inc.|||N|N|N|N
KJER|P|Kenneth, Jerome & Co.,Inc.|||N|Y|N|N
KKSS|P|Hedge Fund Capital Partners, LLC|||N|N|N|N
KLDC|N|Kun-Lun Development Corporation|||N|N|N|N
KMDS|O|Midas Securities, LLC|||N|N|N|N
KNBT|P|KNBT Securities, Inc.|||N|N|N|N
KOND|P|Kinsell, Newcomb & De Dios, Inc.|||N|N|N|N
KOSE|M|Koonce Securities, Inc.|BETHESDA  MD|301-897-9790|N|Y|N|N
KOSE|M|Koonce Securities, Inc.|NASDAQ TRADING|800-368-2802|N|Y|N|N
KOVP|P|KOVACK SECURITIES INC|||Y|Y|N|N
KOVS|N|Kovack Securities Inc.|||Y|Y|N|N
KPAR|M|Kellogg Partners Institutional Services LLC|||N|N|N|N
KRAM|N|Kramer Securities Corporation|||N|N|N|N
KRCO|P|KR SECURITIES, LLC|||N|Y|N|N
KRSH|P|Kershner Securities, LLC|||N|Y|N|N
KRTH|P|J.W. KORTH & COMPANY|||N|Y|N|N
KSGB|P|Kellogg Capital Markets, LLC|||N|N|N|N
KSGX|P|Kellogg Capital Markets, LLC|||N|N|N|N
KSSC|P|Kern, Suslow Securities, Inc.|||N|N|N|N
KSTC|P|KEYSTONE CAPITAL CORPORATION|||N|Y|N|N
KSTE|P|KEYSTONE CAPITAL CORPORATION|||N|Y|N|N
KSTS|P|KEYSTONE CAPITAL CORPORATION|||N|Y|N|N
KTNG|M|Keating Securities, LLC|TRADING|757-345-2853|N|Y|N|N
KUYK|N|KUYKENDALL & SCHNEIDER, INC.|||N|Y|N|N
KVXS|M|KV Execution Services LLC|NEW YORK, NY|212-266-0100|N|N|N|N
KWSC|P|KW Securities Corporation|||N|Y|N|N
KYST|P|Keystone Trading Partners|||N|N|N|N
KYTS|P|KYTE SECURITIES LLC|||N|Y|N|N
LABD|P|LaBranche Financial Services, Inc.|||N|N|N|N
LABF|N|LaBranche & Co. LLC|||N|N|N|N
LABR|P|Labrunerie Financial Services, Inc.|||N|Y|N|N
LADY|P|Trustfirst|||N|Y|N|N
LAFB|P|R. F. Lafferty & Co., Inc.|New York NY|212-293-9090|Y|Y|N|N
LAFC|P|R. F. Lafferty & Co., Inc.|New York|212-293-9064|Y|Y|N|N
LAFF|O|R. F. Lafferty & Co., Inc.|NEW YORK, NY|212-293-9090|Y|Y|N|N
LAFI|P|LAFISE SECURITIES CORPORATION|||N|Y|N|N
LAKE|P|HOLISTIC BROKERAGE, LLC|||N|Y|N|N
LAMA|N|Lara, Shull & May, Ltd|||N|N|N|N
LAMP|M|Lampost Capital, L.C.|BOCA RATON, FL|561-883-0454|Y|Y|N|N
LAMP|M|Lampost Capital, L.C.|BOCA RATON,FL|561-883-1410|Y|Y|N|N
LANE|P|MARC J. LANE & COMPANY|||N|Y|N|N
LANP|P|LUMENT SECURITIES|||N|Y|N|N
LARC|P|Larimer Capital Corporation|||N|Y|N|N
LARK|M|Emmett A Larkin Company, Inc.|SAN FRANCISCO, CA|415-986-2332|N|N|N|N
LARK|M|Emmett A Larkin Company, Inc.|SAN FRANCISCO, CA|800-227-4545|N|N|N|N
LARK|M|Emmett A Larkin Company, Inc.|ENGLEWOOD  CO|303-771-1121|N|N|N|N
LASA|P|LaSalle Capital, L.L.C|||N|N|N|N
LASI|O|LIEBLONG & ASSOCIATES, INC.|||N|Y|N|N
LASS|M|LaSalle St. Securities, Inc.|CHICAGO|800-722-0165|N|Y|N|N
LASS|M|LaSalle St. Securities, Inc.||312-705-7020|N|Y|N|N
LASS|M|LaSalle St. Securities, Inc.|MARKET MAKING|312-705-7018|N|Y|N|N
LASS|M|LaSalle St. Securities, Inc.|TOLL FREE|888-302-6691|N|Y|N|N
LATG|P|GFI SECURITIES LLC|New York, NY|212-968-2030|Y|Y|N|N
LATM|P|GFI SECURITIES LLC|||Y|Y|N|N
LATN|P|HEROLD & LANTERN INVESTMENTS, INC.|HUNTINGTON, NY|(516)425-0700|N|Y|N|N
LATN|P|HEROLD & LANTERN INVESTMENTS, INC.|NEW YORK, NY|(212) 233-2610|N|Y|N|N
LATS|P|Barclays Capital Inc./Le|||Y|Y|Y|Y
LAZF|P|LAZARD FRERES & CO. LLC|||N|Y|N|N
LBBW|P|GUGGENHEIM SECURITIES, LLC|||Y|Y|N|N
LBKI|P|Libucki & Co., LLC|||N|Y|N|N
LBRA|N|Libra Investments, Inc.|||N|N|N|N
LCMC|P|LOOP CAPITAL MARKETS LLC|||N|Y|N|N
LCMT|P|Ledgemont Capital Markets LLC|||N|N|N|N
LCUS|P|LAURENTIAN CAPITAL (USA) INC|||N|Y|N|N
LDGA|P|DOUGALL & ASSOCIATES INC.|||N|N|N|N
LDGP|P|DOUGALL & ASSOCIATES INC.|||N|N|N|N
LDLW|P|Laidlaw & Company (UK) Ltd.|||N|Y|N|N
LDOT|N|LANDOLT SECURITIES, INC.|NASDAQ TRADING|920-236-7000|N|Y|N|N
LEAD|P|The Leaders Group, Inc.|||N|Y|N|N
LEAF|P|Silver Leaf Partners, LLC|||N|Y|N|N
LEBB|P|Leeb Brokerage Services, Inc.|||N|N|N|N
LEBO|O|Leigh Baldwin & Co., LLC|CAZENOVIA, NY|315-655-2964|N|Y|N|N
LEDE|P|Leed Financial Markets Inc./CDS|||N|N|N|N
LEEB|M|Leeb Brokerage Services, Inc.|NASDAQ TRADING|212-634-0036|N|N|N|N
LEEB|M|Leeb Brokerage Services, Inc.|TEMP NASDAQ TRADING|212-653-1720|N|N|N|N
LEER|P|LEERINK PARTNERS, LLC|TRADING|212-277-6100|Y|Y|N|N
LEHB|P|Barclays Capital Inc./Le|||Y|Y|Y|Y
LEHM|M|Barclays Capital Inc./Le|||Y|Y|Y|Y
LEHP|P|Barclays Capital Inc./Le|||Y|Y|Y|Y
LEMP|P|Lempert Brothers International USA, Inc.|||N|N|N|N
LESW|O|Leerink Partners LLC|||Y|Y|N|N
LETS|P|LetsGo Trade, Inc.|TRADING DESK|908-222-8284|N|Y|N|N
LEVN|N|Levco Securities, Inc.|NEW YORK, NY|212-332-8400|N|N|N|N
LEVY|P|Levy, Harkins & Co., Inc.|||N|N|N|N
LEWI|N|DAI SECURITIES, LLC|||N|Y|N|N
LEYA|P|LEMLEY, YARLING & CO.|||N|Y|N|N
LFCI|P|Laguna Financial Corporation|||N|N|N|N
LFCM|M|Lighthouse Financial Group, Llc|Domestic and International Trading|212-277-7676|N|N|N|N
LFIN|O|Lighthouse Financial Group, LLC|Trading|212-277-8145|N|N|N|N
LFRO|P|LF Rothschild, LLC|||N|Y|N|N
LGLL|P|MM GLOBAL SECURITIES, INC.|||N|Y|N|N
LGND|P|Legend Merchant Group, Inc.||212-809-5568|N|N|N|N
LGNT|O|AXOS CLEARING LLC|OMAHA NEB|800-776-5778|Y|Y|N|N
LGSA|P|NH INVESTMENT & SECURITIES AMERICA, INC.|||N|Y|N|N
LGTD|M|Legacy Trading, Inc.|MAIN|405-216-0554|N|N|N|N
LGTD|M|Legacy Trading, Inc.|TRADING|405-216-9443|N|N|N|N
LHMA|P|Barclays Capital Inc./Le|||Y|Y|Y|Y
LHMS|P|Barclays Capital Inc./Le|||Y|Y|Y|Y
LHSB|P|Barclays Capital Inc./Le|||Y|Y|Y|Y
LIAC|P|LIBERTY ASSOCIATES, INC.|||N|Y|N|N
LIBR|P|Libra Securities, LLC|||N|N|N|N
LIME|P|LIME TRADING CORP.|||Y|Y|Y|Y
LINC|P|LIBERUM|||N|Y|N|N
LIQP|P|LIQUID PRIME SERVICES, INC.|||N|Y|N|N
LISA|N|First Choice Securities Corp.|||N|N|N|N
LIVC|P|LIME TRADING CORP.|||Y|Y|Y|Y
LIWM|P|LIME TRADING CORP.|||Y|Y|Y|Y
LIWO|P|LIME TRADING CORP.|||Y|Y|Y|Y
LJRY|N|Lynch, Jones & Ryan, LLC.|||N|N|N|N
LMGP|P|LIME TRADING CORP.|||Y|Y|Y|Y
LMKO|N|L.M. KOHN & COMPANY|||N|Y|N|N
LMNX|P|LUMINEX TRADING & ANALYTICS LLC|||N|Y|N|N
LMPC|P|LIME TRADING CORP.|||Y|Y|Y|Y
LMPQ|P|Lampost Capital, L.C.|||Y|Y|N|N
LMPT|P|LIME TRADING CORP.|||Y|Y|Y|Y
LMTC|P|LMT Capital Markets LLC|||N|N|N|N
LNGB|P|Long Bridge Securities LLC|||N|Y|N|N
LNKS|P|Guggenheim Securities, LLC|||Y|Y|N|N
LNRT|P|L & R TRADING L.L.C.|||N|N|N|N
LOMB|P|Lombard Securities Incorporated|||N|Y|N|N
LOMU|P|BLV SECURITIES|||N|Y|N|N
LOOP|P|Loop Capital Markets LLC|||N|Y|N|N
LOUE|P|ICAP CORPORATES LLC|||Y|Y|N|N
LOWI|M|Blunt Ellis & Loewi Incorporated|||N|N|N|N
LPCA|P|ALPACA SECURITIES LLC|||N|Y|N|N
LPCM|P|Lampert Capital Markets Inc.|||N|Y|N|N
LPFS|P|LIBERTY PARTNERS FINANCIAL SERVICES, LLC|||N|Y|N|N
LPSP|P|LPS Partners INC.|Institutional Sales and Trading|212-441 3871|N|Y|N|N
LPSQ|P|LPS CAPITAL LLC|||N|Y|N|N
LQED|P|MARKETAXESS CORPORATION|||N|Y|N|N
LQNA|P|LIQUIDNET, INC.|||Y|Y|N|N
LQNB|P|LIQUIDNET, INC.|||Y|Y|N|N
LQNF|P|LIQUIDNET, INC|||Y|Y|N|N
LQNT|O|Liquidnet, Inc.|NEW YORK, NY|646-674-2000|Y|Y|N|N
LQNT|O|Liquidnet, Inc.|TRADING|646-674-2200|Y|Y|N|N
LRBC|P|LIBERTY ASSOCIATES, INC.|||N|Y|N|N
LSCM|P|LAKE STREET CAPITAL MARKETS, LLC|||Y|Y|N|N
LSCO|P|Leerink Partners LLC|||Y|Y|N|N
LSCP|P|LIFESCI CAPITAL LLC|||N|Y|N|N
LSEC|P|Livingston Securities, LLC|||N|Y|N|N
LSPD|M|Labranche Structured Products Direct|||N|N|N|N
LSPS|P|Lightspeed Financial Services Group LLC|||Y|Y|Y|N
LSSI|P|ALLIED MILLENNIAL PARTNERS, LLC|||N|Y|N|N
LTAA|P|KEZAR TRADING, LLC|||N|Y|N|N
LTCO|M|Ladenburg, Thalmann & Co., Inc.|TRADING|212-409-2011|Y|Y|N|N
LTCO|M|Ladenburg, Thalmann & Co., Inc.||646-432-6330|Y|Y|N|N
LTCS|P|LINDEN THOMAS AND COMPANY SECURITIES, LLC|||N|Y|N|N
LTIN|P|BBVA Securities Inc.|||N|Y|N|N
LTLI|P|L.P. LITTLEWOOD AND ASSOCIATES, INC.|||N|N|N|N
LTSE|E|LONG-TERM STOCK EXCHANGE|||N|N|N|N
LVAR|P|LARRAIN VAIL SECURITIES US LLC|||N|Y|N|N
LVMR|P|LIVERMORE TRADING GROUP, INC.|||N|Y|N|N
LXBJ|P|BENJAMIN & JEROLD BROKERAGE I, LLC|||N|N|N|N
LYON|M|Credit Agricole Securities (USA) Inc.|NEW YORK NY|212-408-5700|N|Y|N|N
LYON|M|Credit Agricole Securities (USA) Inc.|LISTED TRADING DPMT|212-408-5800|N|Y|N|N
LYON|M|Credit Agricole Securities (USA) Inc.|INT'L TRADING DPMT|212-408-5600|N|Y|N|N
LYON|M|Credit Agricole Securities (USA) Inc.|NASDAQ TRADING|212-408-5899|N|Y|N|N
MACC|P|NEWEDGE SECURITIES INC|||Y|Y|N|N
MACK|N|R.A. Mackie & Co., L.P.|IRVINGTON  NY|914-591-5800|N|N|N|N
MACK|N|R.A. Mackie & Co., L.P.|NASDAQ/OTCBB TRADING|800-328-1550|N|N|N|N
MACM|P|MCAP LLC|||Y|Y|N|N
MACN|M|McNamara Trading Company|||N|N|N|N
MACP|O|Griffon May, Inc.|LAKE OSWEGO, OR|503-635-8844|N|N|N|N
MACQ|M|Macquarie Capital (USA) Inc.|||Y|Y|N|N
MACS|N|Mclaughlin, Piven, Vogel Securities, Inc.|NEW YORK NY|212-248-3721|N|N|N|N
MACS|N|Mclaughlin, Piven, Vogel Securities, Inc.|NEW YORK NY|800-221-4947|N|N|N|N
MADF|M|Bernard L. Madoff Investment Securities LLC|CUST TRADE INQURIES|800-288-4883|N|N|N|N
MADF|M|Bernard L. Madoff Investment Securities LLC||212-230-2435|N|N|N|N
MADF|M|Bernard L. Madoff Investment Securities LLC|NASDAQ TRADING|212-230-2450|N|N|N|N
MADF|M|Bernard L. Madoff Investment Securities LLC|LISTED TRADING|212-230-2400|N|N|N|N
MADF|M|Bernard L. Madoff Investment Securities LLC||800-221-2242|N|N|N|N
MADV|P|Millennium Advisors, LLC|||N|Y|N|N
MAGI|N|Maguire Investments, Inc.|NASDAQ TRADING|805-922-6901|N|N|N|N
MAGM|P|TOR BROKERAGE LLC|||N|Y|N|N
MAJE|P|Majestic Securities LLC|||N|N|N|N
MAMA|N|SECUREVEST FINANCIAL GROUP|||N|Y|N|N
MAME|P|MIDAMERICA FINANCIAL SERVICES, INC.|||N|N|N|N
MATD|P|MM GLOBAL SECURITIES, INC.|||N|Y|N|N
MATP|P|Amvest Securities, Incorporated|||N|N|N|N
MAVB|P|Great Point Capital LLC|||N|Y|N|N
MAVS|P|Madison Avenue Securities|||N|Y|N|N
MAXI|P|Max International Broker/Dealer Corp.|||N|N|N|N
MAXM|M|Maxim Group LLC|NEW YORK, NY|212-895-3680|Y|Y|N|N
MAXM|M|Maxim Group LLC||800-261-0498|Y|Y|N|N
MAXM|M|Maxim Group LLC|OTCBB|212-895-3586|Y|Y|N|N
MAXM|M|Maxim Group LLC|FOREIGN TRADING|732-784-1910|Y|Y|N|N
MAXM|M|Maxim Group LLC|INSTITUTIONAL TRADING|800-628-4005|Y|Y|N|N
MAXM|M|Maxim Group LLC|BALTIMORE|443-552-0302|Y|Y|N|N
MAXM|M|Maxim Group LLC|TRADING|212-895-3560|Y|Y|N|N
MAXM|M|Maxim Group LLC|RED BANK|732-784-1904|Y|Y|N|N
MAXN|P|BGC Financial Inc.|||Y|Y|N|N
MAXX|P|MAXXTRADE, INC|||N|N|N|N
MAYF|O|May Financial Corporation|MICHIGAN|810-522-8000|N|N|N|N
MBAS|P|BOUSTEAD SECURITIES, LLC|Main Line|310-536-0500|N|Y|N|N
MBAY|P|BOUSTEAD SECURITIES, LLC|||N|Y|N|N
MBSE|P|MBS SOURCE ETRADING, INC.|||N|Y|N|N
MBSL|P|MBS CAPITAL MARKETS, LLC|||N|Y|N|N
MBTS|P|ALLY INVEST SECURITIES LLC|||N|Y|N|N
MCAP|P|MCAP LLC|Desk Orlando, FL|407-205-0200|Y|Y|N|N
MCBD|M|McConnell, Budd & Downes, Inc.|NASDAQ TRADING|973-538-0949|N|N|N|N
MCBT|M|Moors & Cabot, Inc.|NASDAQ TRADING|800-426-0501|Y|Y|N|N
MCBT|M|Moors & Cabot, Inc.|BOSTON  MA|617-426-0500|Y|Y|N|N
MCBT|M|Moors & Cabot, Inc.|NASDAQ-BANK STOCKS|617-451-2407|Y|Y|N|N
MCBT|M|Moors & Cabot, Inc.|SAN FRANSCICO, CA|N/A|Y|Y|N|N
MCBT|M|Moors & Cabot, Inc.|NASDAQ TRADING|800-723-9866|Y|Y|N|N
MCBT|M|Moors & Cabot, Inc.||415-288-2243|Y|Y|N|N
MCBT|M|Moors & Cabot, Inc.|INSTITUTIONAL|800-655-3583|Y|Y|N|N
MCCL|N|MCCLURG CAPITAL CORPORATION|||N|Y|N|N
MCFA|P|Moors & Cabot Financial Advisors, LLC|BOSTON, MA|800.426.0501|N|N|N|N
MCFM|P|Morton Clarke Fu & Metcalf Inc.|||N|N|N|N
MCIN|P|Moors & Cabot, Inc.|||Y|Y|N|N
MCKN|M|McKinnon & Company, Inc.|NORFOLK  VA|757-623-4636|N|N|N|N
MCKN|M|McKinnon & Company, Inc.|NASDAQ TRADING|800-853-4636|N|N|N|N
MCLF|P|MCL Financial Group, Inc.|||N|N|N|N
MCME|P|MCMILLION SECURITIES, INC.|||N|N|N|N
MCMF|P|Raymond James Ltd. Cds|Vancouver, Canada|604-654-1151|N|N|N|N
MCMM|P|MONMOUTH CAPITAL MANAGEMENT LLC|||N|N|N|N
MCSL|P|MCCAULEY SECURITIES, LTD.|||N|N|N|N
MDAS|M|Midas Securities, LLC|BUENA PARK, CA|714-521-0660|N|N|N|N
MDBC|M|PUBLIC VENTURES, LLC|TRADING|800-750-9302|N|Y|N|N
MDEB|O|WORLD FIRST FINANCIAL SERVICES, INC.|NEW YORK, NY|800-221-3305|N|Y|N|N
MDGP|P|MD GLOBAL PARTNERS, LLC|||N|Y|N|N
MDGS|P|MIDDLEGATE SECURITIES INC.||212-391-7308|N|Y|N|N
MDLX|P|McDonald's Investment Inc.|||Y|Y|N|N
MEAL|P|M. E. ALLISON & CO., INC.|||N|Y|N|N
MEAT|P|HB SECURITIES, LLC|||N|Y|N|N
MECA|P|MERRIMAN CAPITAL, INC.|||N|N|N|N
MEFA|O|Melhado, Flynn & Associates, Inc.|NEW YORK|212-764-3638|N|N|N|N
MELN|N|Mellin Securities, Inc.|CHICAGO, IL|312-456-7304|N|N|N|N
MEMX|E|MEMX Execution Services LLC|||N|Y|N|N
MERC|P|Mercadien Securities|||N|Y|N|N
MERI|M|Merriman Curhan Ford & Co.|SAN FRANCISCO|800-909-7897|N|N|N|N
MERI|M|Merriman Curhan Ford & Co.|NEW YORK|646-292-1401|N|N|N|N
MERI|M|Merriman Curhan Ford & Co.|OTCBB/PINK SHEETS|646-292-1409|N|N|N|N
MERP|P|MERIDIAN EQUITY PARTNERS INC.|Trading Desk|212-742-8028|Y|Y|N|N
MERR|P|Merrimac Corporate Securities, Inc.|||N|N|N|N
MERS|P|Merrion Securities, LLC|||N|Y|N|N
MERX|P|MERRIMAC CORPORATE SECURITIES, INC.|||N|N|N|N
MESF|P|MESIROW FINANCIAL, INC.|||Y|Y|N|N
MEXD|P|Dynamex Trading, LLC|TRADING|415-283-3528|Y|Y|N|N
MEXD|P|Dynamex Trading, LLC|TRADE RECONCILIATION|415-283-3479|Y|Y|N|N
MFCA|P|Monarch Financial Corporation of America|||N|N|N|N
MFFS|N|McFadden, Farrell & Smith, LP|||N|N|N|N
MFGX|P|MISCHLER FINANCIAL GROUP, INC|||N|Y|N|N
MFSI|P|Midamerica Financial Services, Inc.|||N|N|N|N
MGIS|P|Industrial Alliance Securities INC.|||N|N|N|N
MGPC|P|MADISON GLOBAL PARTNERS LLC|||N|Y|N|N
MGTX|P|JUMP TRADING|||Y|N|Y|Y
MIAM|P|FMS, Inc.|||N|Y|N|N
MICG|N|MICG Investment Management, LLC|||N|N|N|N
MICH|P|MISCHLER FINANCIAL GROUP, INC|||N|Y|N|N
MIDS|N|Midsouth Capital, Inc.|COLUMBIA, SC|803-790-4440|N|N|N|N
MILC|P|Millenco|||N|N|N|N
MILE|P|I-Bankers Securities, Inc.|||N|Y|N|N
MILN|P|MILLENNIUM ADVISORS, LLC|||N|Y|N|N
MILS|P|Milestone Financial Services, Inc.|||N|N|N|N
MINP|P|MINISTRY PARTNERS SECURITIES, LLC|||N|Y|N|N
MINT|P|BGC FINANCIAL INC.|||Y|Y|N|N
MINV|P|MACK INVESTMENT SECURITIES, INC.|||N|Y|N|N
MIPG|P|MIP GLOBAL, INC|||N|N|N|N
MIRA|P|MIRAE ASSET SECURITIES (USA) INC.|||Y|Y|N|N
MISL|N|MISCHLER FINANCIAL GROUP, INC.|||N|Y|N|N
MITR|P|StoneX Financial Inc.|TRADING|212-404-8344|Y|Y|N|N
MJCO|M|MORGAN JOSEPH TRIARTISAN LLC.|PITTSFORD, NEW YORK|585-899-6022|N|N|N|N
MJJG|N|Michael A. Steinberg & Company, Inc.|NASDAQ TRADING|212-730-9797|N|N|N|N
MJSK|M|Miller Johnson Steichen Kinnard Inc.|M-MINNEAPOLIS, MN|612-455-5795|N|N|N|N
MJSK|M|Miller Johnson Steichen Kinnard Inc.|NASDAQ/OTCBB TRADING|800-825-5466|N|N|N|N
MJSK|M|Miller Johnson Steichen Kinnard Inc.|M-INSTITUTIONAL|612-455-2900|N|N|N|N
MJSK|M|Miller Johnson Steichen Kinnard Inc.|M-INSTITUIONAL|800-777-5134|N|N|N|N
MJSK|M|Miller Johnson Steichen Kinnard Inc.|R-TRADING|800-525-7497|N|N|N|N
MJWH|O|ETICO Partners LLC|NEW YORK, NY-TRADING|212-888-0290|N|Y|N|N
MKMP|P|ROTH Capital Partners, LLC|||Y|Y|N|N
MKRT|P|MARKET SECURITIES, LLC|||N|Y|N|N
MKTD|P|White Pacific Securities, Inc.|NASDAQ TRADING|407-352-6780|N|N|N|N
MKTS|P|OTC LINK LLC|||N|Y|N|N
MKTX|O|MarketAxess Corporation|||N|Y|N|N
MKTY|P|MARKETAXESS CORPORATION|||N|Y|N|N
MLBC|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|NASDAQ TRADING|800-937-0501|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|NASDAQ SALES TRD|800-937-0516|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|DEALER DESK|212-449-6872|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|INTERNATIONAL SALES|800-933-6468|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|INTL BROKER/DEALER|212-449-7586|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|LISTED SALES|800-937-0539|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|INTL BROKERDEALR SVC|212-449-7851|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|INTL BROKERDEALR SVC|800-221-7420|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|UNITED KINGDOM|212-449-5956|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|EUROPE|212-449-5956|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|ASIA PACIFIC|212-449-4105|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|LATIN AMERICA|212-449-4101|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|CANADA|212-449-4101|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|EMERGING MARKETS|212-449-6491|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|INDUSTRIAL TRADING|212-449-4167|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|INDUSTRIAL ORDERS|212-449-4142|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|PORTLAND,OR|503-221-4744|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|CONVERTIBLES|212-449-4040|Y|Y|Y|Y
MLCO|M|Bofa Securities, Inc.|ARBITRAGE|212-449-3456|Y|Y|Y|Y
MLCX|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLEN|N|Millenco - Special Account|||N|N|N|N
MLEX|P|Bofa Securities, Inc.|NEW YORK, NY|N/A|Y|Y|Y|Y
MLIN|P|Wells Fargo Prime Services, LLC|||N|Y|N|N
MLIX|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLLN|P|Millenco|||N|N|N|N
MLMA|O|Merrill Lynch Pierce Fenner & Smith Incorporated|||Y|Y|N|N
MLNM|P|Millenco|||N|N|N|N
MLRM|P|Bofa Securities, Inc.|||Y|Y|N|N
MLRO|P|BOFA Securities, INC.|||Y|Y|Y|Y
MLSE|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLSI|M|Schon-EX LLC|Jericho, NY|516-942-2400|N|N|N|N
MLST|N|M.L. Stern & Co. Inc.|BEVERLY HILLS, CA|323-658-4444|N|N|N|N
MLST|N|M.L. Stern & Co. Inc.||323-658-4400|N|N|N|N
MLTC|M|Bofa Securities, Inc.|||Y|Y|Y|Y
MLTD|P|Millenco|||N|N|N|N
MLTJ|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLTK|P|Merrill Lynch, Pierce, Fenner & Smith Incorporated|||Y|Y|N|N
MLTL|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLTS|O|Miletus Trading, LLC|||N|N|N|N
MLTV|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLTZ|P|MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED|||Y|Y|N|N
MLUA|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLUD|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLVN|N|Melvin Securities, L.L.C.|CHICAGO, IL|312-341-5170|N|Y|N|N
MLVN|N|Melvin Securities, L.L.C.||800-578-6358|N|Y|N|N
MLVN|N|Melvin Securities, L.L.C.|INSTITUTIONAL DESK|312-341-1911|N|Y|N|N
MLVN|N|Melvin Securities, L.L.C.||800-341-8584|N|Y|N|N
MLVX|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLWM|P|MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED|||Y|Y|N|N
MLZA|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZB|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZC|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZD|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZE|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZF|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZG|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZH|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZI|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZJ|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZK|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZL|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZM|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZN|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZO|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZP|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZQ|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZR|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZS|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZT|P|Bofa Securities, Inc.|||N|N|N|N
MLZU|P|BOFA SECURITIES|||Y|Y|Y|Y
MLZV|P|Bofa Securities, Inc.|||Y|Y|Y|Y
MLZW|P|BOFA SECURITIES|||Y|Y|Y|Y
MMAN|M|McMahan Securities Co. L.P.|GREENWICH CT|203-618-3300|N|N|N|N
MMAN|M|McMahan Securities Co. L.P.|GREENWICH CT|800-626-2426|N|N|N|N
MNAS|P|MAREX NORTH AMERICA SECURITIES LLC|||N|Y|N|N
MNCO|N|MARTIN NELSON & CO., INC.|NASDAQ TRADING|206-682-6261|N|Y|N|N
MNDC|P|MONDEUM CAPITAL|||N|Y|N|N
MNDK|P|MONADNOCK CAPITAL MANAGEMENT, LP|||N|N|N|N
MNDT|P|TJM INVESTMENTS, LLC|||N|Y|N|N
MNDX|P|TJM Investments, LLC|||N|Y|N|N
MNRC|N|Monarch Capital Group, LLC|||N|Y|N|N
MNTY|O|Montgomery & Co., LLC|||N|N|N|N
MNXS|P|Muniaxis Lebenthal LLC|||N|N|N|N
MOCM|P|MORETON CAPITAL MARKETS, LLC|||N|Y|N|N
MOFI|P|M1 FINANCE LLC|||N|Y|N|N
MOFO|P|M1 FINANCE LLC|||N|Y|N|N
